id,username,password,gender,email,mobile,location,image,name
ADT1809632,Wilsred,Wilsred,Male,Wilsred@xmu.edu.my,0163257894,Dengkil,...,Wilsred
CHS1809678,Lily,Lily,Female,Lily@gmail.com,0142536142,"Kota Kinabalu",...,Lily
CME1809235,Emily,Emily,Female,EmilyWen@xmu.edu.my,01125439885,Kuantan,...,EmilyWen
DMT1809635,Sophia,Sophia,Female,Sophia@xmu.edu.my,0142056389,Sepang,...,Sophia
EGE1809657,Jason,Jason,Male,Jason@xmu.edu.my,0123654788,Seremban,...,Jason
FIN1809542,Ester,Ester,Female,Ester@xmu.edu.my,0124586936,Sibu,...,Ester
IBU1809546,bookman,bookman,Male,bookman@xmu.edu.my,0127896314,"Johor Bahru",...,bookman
MAT1809765,aaron,aaron,Male,AaronTing@xmu.edu.my,0123456789,Sibu,...,AaronTing
MBT1809526,Emma,Emma,Female,Emma@gmail.com,0182453695,Puchong,...,Emma
SWE1809624,Delaine,Delaine,Female,Delaine@xmu.edu.my,0162354754,Sepang,...,Delaine
SWE1809652,jackkhor,jackkhor,Male,Jack@xmu.edu.my,01136569557,"Kuala Kangsar",...,Jack
SWE1809655,YouZi,YouZi,Male,YouZi@xmu.edu.my,01136702336,"Johor Bahru",...,Youzi
